0,1
S0021,19_29
S0032,19_29
S0094,30_39
S0095,30_39
S0261,40_49
S0262,40_49
S0653,30_39
S0654,0_10
S0655,0_10
S0519,50_59
S0520,30_39
S0521,50_59
S0588,40_49
S0589,40_49
S0590,70_79
S0616,50_59
S0012,70_79
S0013,60_69
S0152,50_59
S0024,30_39
S0144,30_39
S0255,40_49
S0315,30_39
S0402,11_18
S0405,11_18
S0554,11_18
S0555,11_18
S0486,60_69
S0642,70_79
S0439,19_29
S0441,19_29
S0037,19_29
S0115,30_39
S0336,19_29
S0362,19_29
S0679,50_59
S0680,60_69
S0687,19_29
S0688,50_59
S0689,11_18
S0690,50_59
S0030,40_49
S0096,30_39
S0567,19_29
S0611,19_29
S0620,19_29
S0623,19_29
S0058,19_29
S0179,19_29
S0057,19_29
S0421,11_18
S0423,50_59
S0337,19_29
S0338,50_59
S0339,50_59
S0340,80_89
S0192,19_29
S0198,19_29
S0229,60_69
S0230,50_59
S0556,11_18
S0259,40_49
S0260,80_89
S0068,40_49
S0075,40_49
S0150,50_59
S0008,60_69
S0522,30_39
S0244,19_29
S0245,19_29
S0246,19_29
S0320,30_39
S0321,30_39
S0391,50_59
S0392,11_18
S0393,40_49
S0397,50_59
S0480,60_69
S0545,50_59
S0238,50_59
S0243,80_89
S0492,30_39
S0493,30_39
S0604,30_39
S0605,60_69
S0664,80_89
S0665,80_89
S0666,50_59
S0018,30_39
S0131,50_59
S0547,11_18
S0548,40_49
S0549,19_29
S0550,40_49
S0671,19_29
S0674,19_29
S0326,19_29
S0327,70_79
S0445,19_29
S0576,19_29
S0578,11_18
S0007,19_29
S0082,60_69
S0084,19_29
S0103,70_79
S0319,40_49
S0251,50_59
S0252,11_18
S0368,80_89
S0369,80_89
S0372,60_69
S0038,50_59
S0083,60_69
S0086,19_29
S0187,19_29
S0188,19_29
S0200,19_29
S0387,19_29
S0440,50_59
S0481,60_69
S0120,19_29
S0278,60_69
S0652,30_39
S0202,19_29
S0208,19_29
S0256,19_29
S0257,40_49
S0416,11_18
S0417,40_49
S0418,0_10
S0390,70_79
S0253,19_29
S0254,19_29
S0631,19_29
S0632,19_29
S0635,19_29
S0190,50_59
S0227,50_59
S0342,19_29
S0343,50_59
S0517,40_49
S0525,40_49
S0328,19_29
S0330,19_29
S0331,30_39
S0615,19_29
S0428,19_29
S0432,19_29
S0052,30_39
S0109,19_29
S0275,19_29
S0276,19_29
S0422,30_39
S0104,40_49
S0110,50_59
S0167,19_29
S0247,60_69
S0248,60_69
S0053,19_29
S0061,19_29
S0121,19_29
S0124,19_29
S0203,19_29
S0041,19_29
S0046,19_29
S0169,30_39
S0529,19_29
S0530,19_29
S0531,19_29
S0532,19_29
S0209,19_29
S0210,19_29
S0614,50_59
S0617,19_29
S0603,30_39
S0415,40_49
S0475,70_79
S0551,60_69
S0552,70_79
S0553,70_79
S0324,11_18
S0325,11_18
S0499,50_59
S0500,19_29
S0503,19_29
S0004,30_39
S0146,30_39
S0607,30_39
S0644,30_39
S0258,30_39
S0017,70_79
S0162,30_39
S0443,60_69
S0384,19_29
S0570,11_18
S0571,40_49
S0572,11_18
S0618,40_49
S0619,19_29
S0426,60_69
S0427,60_69
S0592,11_18
S0596,11_18
S0597,11_18
S0598,11_18
S0599,11_18
S0454,30_39
S0579,90_99
S0019,60_69
S0509,11_18
S0510,40_49
S0232,30_39
S0201,19_29
S0351,19_29
S0015,60_69
S0281,60_69
S0063,40_49
S0147,50_59
S0249,19_29
S0357,19_29
S0543,19_29
S0544,19_29
S0561,40_49
S0034,19_29
S0050,19_29
S0123,19_29
S0073,30_39
S0129,30_39
S0070,40_49
S0180,30_39
S0072,19_29
S0080,19_29
S0128,19_29
S0134,19_29
S0085,19_29
S0194,30_39
S0196,30_39
S0434,30_39
S0472,19_29
S0322,30_39
S0211,19_29
S0216,19_29
S0218,19_29
S0220,19_29
S0221,19_29
S0222,19_29
S0097,30_39
S0151,19_29
S0189,19_29
S0456,40_49
S0457,40_49
S0458,19_29
S0459,11_18
S0266,60_69
S0268,60_69
S0269,70_79
S0355,60_69
S0474,19_29
S0593,50_59
S0594,19_29
S0600,50_59
S0601,19_29
S0602,19_29
S0411,40_49
S0412,0_10
S0303,40_49
S0508,70_79
S0329,50_59
S0352,11_18
S0446,60_69
S0595,11_18
S0482,30_39
S0483,30_39
S0092,50_59
S0494,60_69
S0495,50_59
S0496,30_39
S0497,30_39
S0231,30_39
S0365,60_69
S0366,50_59
S0420,30_39
S0668,30_39
S0270,60_69
S0271,60_69
S0176,50_59
S0185,50_59
S0003,19_29
S0113,19_29
S0130,19_29
S0159,19_29
S0558,50_59
S0039,30_39
S0043,40_49
S0126,60_69
S0158,50_59
S0191,0_10
S0193,50_59
S0199,50_59
S0498,19_29
S0501,50_59
S0502,19_29
S0065,30_39
S0136,19_29
S0613,50_59
S0478,50_59
S0505,70_79
S0506,90_99
S0114,70_79
S0264,60_69
S0265,50_59
S0540,30_39
S0541,40_49
S0300,40_49
S0016,19_29
S0029,19_29
S0031,19_29
S0089,19_29
S0098,19_29
S0137,19_29
S0178,11_18
S0591,80_89
S0157,19_29
S0344,19_29
S0345,19_29
S0028,19_29
S0042,19_29
S0051,19_29
S0101,19_29
S0102,11_18
S0117,19_29
S0156,19_29
S0453,30_39
S0305,40_49
S0306,19_29
S0001,30_39
S0040,30_39
S0060,30_39
S0171,19_29
S0314,60_69
S0204,19_29
S0205,19_29
S0206,19_29
S0207,19_29
S0452,50_59
S0455,50_59
S0537,60_69
S0538,70_79
S0539,19_29
S0669,19_29
S0670,19_29
S0460,80_89
S0564,70_79
S0565,70_79
S0566,60_69
S0639,40_49
S0640,40_49
S0197,50_59
S0195,19_29
S0346,19_29
S0223,19_29
S0224,19_29
S0225,40_49
