conv_id,n_utterances,n_tokens,topics,type,speaker1_id,speaker1_age_cat,speaker1_gender,speaker1_educ,speaker2_id,speaker2_age_cat,speaker2_gender,speaker2_educ
S6SH,1700,13595,"['phones', 'food', 'accident anecdotes ', 'war stories', 'travel', 'anon’s grandmother', 'boxing', 'anon’s father', 'the end of wwii', 'neighbours', 'opera', 'local events chess the weather']","['discussing', 'explaining', 'anecdote telling']",S0454,30_39,F,4_graduate,S0579,90_99,M,2_secondary
S6TR,94,1025,['housemates'],"['discussing', 'explaining', 'inquiring', 'complaining']",S0202,19_29,F,3_sixthform,S0218,19_29,M,5_postgrad
S6ZU,790,7161,"['recording conversations', 'taking trains', 'day trips with children', 'ebay orders', 'confrontations', 'mistaking race', 'job seekers allowance', 'claiming benefits', 'others spending their inheritance', 'children growing up', 'social behaviour', 'gas and electricity costs', 'cooking on a george foreman.']","['discussing', 'explaining', 'complaining', 'advising', 'anecdote telling']",S0198,19_29,F,4_graduate,S0231,30_39,M,2_secondary
S72E,1638,12962,"['car accident', 'alice in wonderland', 'scars', 'music', 'costume', 'the internet', 'presents', 'seagulls', 'reading', 'theatre', 'reading']","['explaining', 'inquiring', 'anecdote telling']",S0509,11_18,F,2_secondary,S0510,40_49,F,5_postgrad
S72Q,850,9493,"['internet', 'work', 'politics', 'weather', 'cooking', 'health', 'house prices']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0058,19_29,F,4_graduate,S0120,19_29,M,5_postgrad
S7AR,273,2636,"['family life', 'christmas', 'family friends', 'work and travel']","['discussing', 'explaining', 'anecdote telling']",S0320,30_39,F,3_sixthform,S0443,60_69,F,4_graduate
S7FK,1686,15299,"[' friends', 'socializing', 'children', 'education and behaviour', 'gym', 'cancer']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0517,40_49,F,4_graduate,S0558,50_59,F,3_sixthform
S7FU,717,5869,"['friends', 'food', 'culture']","['discussing', 'explaining']",S0024,30_39,F,5_postgrad,S0144,30_39,M,5_postgrad
S7GW,191,5511,"['different cultures', 'politics', 'refugees & immigrants', 'tefl.']",['discussing'],S0618,40_49,F,4_graduate,S0619,19_29,F,5_postgrad
S7HR,576,6672,"['checking the football results', 'homesickness/sad', 'a student', 'good coffee', 'message from a friend', 'feeling responsible for students (and preparing them for exams)', 'working on farms', 'dogs', 'media', 'reading', 'birds', 'umbrellas', 'shopping', 'drinking', 'boots. ']","['discussing', 'explaining']",S0618,40_49,F,4_graduate,S0619,19_29,F,5_postgrad
S7K2,327,5625,"['religion', 'international events', 'life', 'education.']","['discussing', 'explaining', 'inquiring', 'anecdote telling']",S0281,60_69,M,4_graduate,S0355,60_69,M,2_secondary
S7LN,189,4453,"['weekend/free time plans', 'children', 'cats', 'hobbies', 'work']","['discussing', 'explaining', 'inquiring']",S0065,30_39,F,5_postgrad,S0136,19_29,F,4_graduate
S7MF,692,7984,"['work', 'the weekend', 'house party', 'living arrangements', 'communications', 'complaining', 'friends.']","['discussing', 'explaining', 'inquiring', 'complaining', 'inviting', 'anecdote telling']",S0439,19_29,F,4_graduate,S0441,19_29,F,5_postgrad
S7MU,310,4132,"['washing machine', 'food', 'family', 'films']","['discussing', 'explaining', 'anecdote telling']",S0037,19_29,F,5_postgrad,S0115,30_39,M,5_postgrad
S7NH,1358,18621,[],"['discussing', 'explaining', 'inquiring', 'complaining', 'advising', 'anecdote telling', 'making arrangements ']",S0083,60_69,F,2_secondary,S0084,19_29,F,5_postgrad
S7NJ,407,3720,"['looking at menu', 'deciding where to go for the rest of the evening', 'beer', 'restaurants', 'playing mancala game', 'playing scrabble.']","['discussing', 'explaining']",S0588,40_49,F,4_graduate,S0589,40_49,M,4_graduate
S7NV,1031,9024,"['the future and old age', 'art', 'essays', 'computer games']","['discussing', 'inquiring', 'advising,']",S0529,19_29,F,3_sixthform,S0530,19_29,F,3_sixthform
S7P2,273,2813,"['college', 'drama']","['discussing', 'explaining', 'inquiring', 'cmplaining', '']",S0509,11_18,F,2_secondary,S0510,40_49,F,5_postgrad
S7QU,196,5574,['plants and gardening'],"['discussing', 'explaining']",S0114,70_79,F,4_graduate,S0115,30_39,M,5_postgrad
S7QY,378,5850,"['work', 'new technology']","['discussing', 'explaining', 'inquiring', 'complaining', 'making arrangements']",S0264,60_69,M,5_postgrad,S0265,50_59,M,4_graduate
